geografia_key,ubigeo,dominio_cod,dominio,estrato_cod,estrato,latitud,longitud,altitud
4080,220804,7,Selva,4,De 20 000 a 49 999 habitantes,-5.953880057,-77.300324077,853.239563141
4081,220502,7,Selva,5,De 2 000 a 19 999 habitantes,-6.36182651,-76.768947724,1064.30207497
4082,220804,7,Selva,4,De 20 000 a 49 999 habitantes,-5.936622485,-77.308573808,863.788566111
4083,220802,7,Selva,5,De 2 000 a 19 999 habitantes,-5.778525431,-77.320072767,824.745588554
4084,220510,7,Selva,7,Área de Empadronamiento Rural compuesto,-6.488336667,-76.632111667,1017.0
4085,220510,7,Selva,7,Área de Empadronamiento Rural compuesto,-6.543843333,-76.591971666,1163.0
4086,220405,7,Selva,6,De 500 a 1 999 habitantes,-7.071467153,-76.709539707,273.327989011
4087,220909,7,Selva,2,De 100 000 a 499 999 habitantes,-6.527528534,-76.345055374,248.399396442
4088,220901,7,Selva,2,De 100 000 a 499 999 habitantes,-6.493716974,-76.374611895,264.89990494
4089,220901,7,Selva,2,De 100 000 a 499 999 habitantes,-6.474179558,-76.366867123,385.29120707
4090,220901,7,Selva,2,De 100 000 a 499 999 habitantes,-6.491061568,-76.366098332,303.042364533
4091,220201,7,Selva,5,De 2 000 a 19 999 habitantes,-7.064494473,-76.592731738,295.223603794
4092,220913,7,Selva,5,De 2 000 a 19 999 habitantes,-6.695709701,-76.207015592,608.782358718
4093,220202,7,Selva,5,De 2 000 a 19 999 habitantes,-7.38294647,-76.415594659,281.410280173
4094,220909,7,Selva,7,Área de Empadronamiento Rural compuesto,-6.501394883,-76.342006969,331.0
4095,220909,7,Selva,7,Área de Empadronamiento Rural compuesto,-6.494611666,-76.33311,426.0
4096,220203,7,Selva,7,Área de Empadronamiento Rural compuesto,-7.33673,-76.25802,594.0
4097,220203,7,Selva,7,Área de Empadronamiento Rural compuesto,-7.318890019,-76.28296226,926.0
4098,230110,3,Costa Sur,2,De 100 000 a 499 999 habitantes,-18.048428233,-70.251259341,507.924496587
